A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
"Impedance source",units,NaN,,,,,,,,,,NaN,"Impedance source",units,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Lithium metal electrode",Electrodissolution/deposition between ceramic-buffer-layer and metal interface,NaN,,,,,,,,,,NaN,"Lithium metal electrode",Electrodissolution/deposition between ceramic-buffer-layer and metal interface,NaN
"  N:P ratio",mAh/mAh,1.5,,,,,,,,,,NaN,"  N:P ratio",mAh/mAh,1.5
"  Thickness, L",cm,0.00290265387674058,,,,,,,,,,NaN,"  Thickness, L",cm,0.00290265387674058
"  Kinetic model",<undefined>,NaN,,,,,,,,,,NaN,"  Kinetic model",<undefined>,NaN
"  Exchange current, i0",A/cm2,0.0001,,,,,,,,,,NaN,"  Exchange current, i0",A/cm2,0.0001
"  Transfer coefficent, a",<undefined>,0.5,,,,,,,,,,NaN,"  Transfer coefficent, a",<undefined>,0.5
"  Surface overpotential, h",V,0.177851095734821,,,,,,,,,,NaN,"  Surface overpotential, h",V,0.108876849180879
"    ASI",Ohm cm2,59.0795456231927,,,,,,,,,,NaN,"    ASI",Ohm cm2,137.475682474834
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Ceramic electrolyte",Conduction of Li+ through ceramic,NaN,,,,,,,,,,NaN,"Ceramic electrolyte",Conduction of Li+ through ceramic,NaN
"  Thickness",cm,0.002,,,,,,,,,,NaN,"  Thickness",cm,0.002
"  Bulk ionic conductivity, k",S/cm,0.0001,,,,,,,,,,NaN,"  Bulk ionic conductivity, k",S/cm,0.0001
"  Overpotential, h",V,0.0602073336410367,,,,,,,,,,NaN,"  Overpotential, h",V,0.0158394338869072
"    ASI",Ohm cm2,20,,,,,,,,,,NaN,"    ASI",Ohm cm2,20
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Ceramic intercalation kinetics",Charge transfer between liquid electroltye and solid ceramic electrolyte,NaN,,,,,,,,,,NaN,"Ceramic intercalation kinetics",Charge transfer between liquid electroltye and solid ceramic electrolyte,NaN
"  Kinetic model",<undefined>,NaN,,,,,,,,,,NaN,"  Kinetic model",<undefined>,NaN
"  Exchange current, i0",A/cm2,0.0001,,,,,,,,,,NaN,"  Exchange current, i0",A/cm2,0.0001
"  Transfer coefficent, a",<undefined>,0.5,,,,,,,,,,NaN,"  Transfer coefficent, a",<undefined>,0.5
"  Overpotential, h",V,0.177851095734821,,,,,,,,,,NaN,"  Overpotential, h",V,0.108876849180879
"    ASI",Ohm cm2,59.0795456231927,,,,,,,,,,NaN,"    ASI",Ohm cm2,137.475682474834
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Positive porous electrode",Compression resiliant carbon felt-like composite electrode material,NaN,,,,,,,,,,NaN,"Positive porous electrode",Compression resiliant carbon felt-like composite electrode material,NaN
"  Discharged volume fraction, e",mAh/cm3,2698.08,,,,,,,,,,NaN,"  Discharged volume fraction, e",mAh/cm3,2698.08
"    Active material (product)",cm3/cm3,0.6,,,,,,,,,,NaN,"    Active material (product)",cm3/cm3,0.6
"    Electrolyte",cm3/cm3,0.25,,,,,,,,,,NaN,"    Electrolyte",cm3/cm3,0.25
"    Carbon felt/matrix",cm3/cm3,0.1,,,,,,,,,,NaN,"    Carbon felt/matrix",cm3/cm3,0.1
"  Thickness, L",cm,0.00244609652773271,,,,,,,,,,NaN,"  Thickness, L",cm,0.00244609652773271
"  Specific interfacial area, a",cm2/cm3,5000,,,,,,,,,,NaN,"  Specific interfacial area, a",cm2/cm3,5000
"     Roughness factor",cm2/cm2,12.2304826386635,,,,,,,,,,NaN,"     Roughness factor",cm2/cm2,12.2304826386635
"  Electrolyte conductivity, keff",S/cm,0.00125,,,,,,,,,,NaN,"  Electrolyte conductivity, keff",S/cm,0.00125
"  Matrix conductivity, seff",S/cm,3.16227766016838,,,,,,,,,,NaN,"  Matrix conductivity, seff",S/cm,3.16227766016838
" Test for Tafel applicability",<undefined>,NaN,,,,,,,,,,NaN," Test for Tafel applicability",<undefined>,NaN
" Newman and Tobias expression",<undefined>,NaN,,,,,,,,,,NaN," Newman and Tobias expression",<undefined>,NaN
"    Exchange current, i0",A/cm2,1e-05,,,,,,,,,,NaN,"    Exchange current, i0",A/cm2,1e-05
"    Transfer coefficent, a",<undefined>,0.5,,,,,,,,,,NaN,"    Transfer coefficent, a",<undefined>,0.5
"    (1-a)F/RT, b",1/V,19.1494385864896,,,,,,,,,,NaN,"    (1-a)F/RT, b",1/V,19.1494385864896
"    Dimensionless current, d",N/A,0.112852363465075,,,,,,,,,,NaN,"    Dimensionless current, d",N/A,0.0296893657630425
"    Epsilon, e",N/A,0.112807772277804,,,,,,,,,,NaN,"    Epsilon, e",N/A,0.0296776346479108
"    theta iterate, q",radians,0.23533361363208,,,,,,,,,,1.5707963267949,"    theta iterate, q",radians,0.121538490100314
"    placeholder, tan( q )",N/A,0.239776469502852,,,,,,,,,,NaN,"    placeholder, tan( q )",N/A,0.122140486839297
"    tan( q )",N/A,0.239776469502912,,,,,,,,,,NaN,"    tan( q )",N/A,0.122140486839328
"    Si, y",N/A,0.235238873262393,,,,,,,,,,NaN,"    Si, y",N/A,0.121490229195043
"  Overpotential, h= f1(L)-f2(0)",V,0.169221580445172,,,,,,,,,,NaN,"  Overpotential, h= f1(L)-f2(0)",V,0.098064302423348
" Euler and Nonnenmacher expression",<undefined>,NaN,,,,,,,,,,NaN," Euler and Nonnenmacher expression",<undefined>,NaN
"   Dimnsnlss. current density,u",N/A,0.0957645848440626,,,,,,,,,,NaN,"   Dimnsnlss. current density,u",N/A,0.0957645848440626
"  Overpotential, h= f1(L)-f2(0)",V,0.644569181967636,,,,,,,,,,NaN,"  Overpotential, h= f1(L)-f2(0)",V,0.16957420842094
"  ASI for porous electrode",Ohm cm2,56.2129462347864,,,,,,,,,,NaN,"  ASI for porous electrode",Ohm cm2,123.82298903297
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Current collector",<undefined>,NaN,,,,,,,,,,NaN,"Current collector",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"  Overpotential, h",V,0.00686889444412724,,,,,,,,,,NaN,"  Overpotential, h",V,0.00180707885309408
"    ASI",Ohm cm2,2.28174676695694,,,,,,,,,,NaN,"    ASI",Ohm cm2,2.28174676695694
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Rated Power, 2C pulse",<undefined>,NaN,,,,,,,,,,NaN,"Rated Energy, C/3 discharge",<undefined>,NaN
"Total cell ASI",Ohm cm2,196.653784248129,,,,,,,,,,NaN,"Total cell ASI",Ohm cm2,421.056100749595
"Total overpotential",V,0.591999999999977,,,,,,,,,,NaN,"Total overpotential",V,0.333464513525107
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"Overpotential as function of cell region",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,NaN,"",<undefined>,NaN
"",1,0,,,,,,,,,,NaN,"",<undefined>,NaN
"",1,0.177851095734821,,,,,,,,,,NaN,"",<undefined>,NaN
"",2,0.238058429375857,,,,,,,,,,NaN,"",<undefined>,NaN
"",2,0.415909525110678,,,,,,,,,,NaN,"",<undefined>,NaN
"",2,0.58513110555585,,,,,,,,,,NaN,"",<undefined>,NaN
"",3,0.58513110555585,,,,,,,,,,NaN,"",<undefined>,NaN
"",3,0.591999999999977,,,,,,,,,,NaN,"",<undefined>,NaN
